episodes,learner_return,learner_harm,harm_per_100_moves,learner_moves,bystander_return,expert_return,frac_social,l_pi,l_v,l_aux,ent,kl,sec
128,0.09375,1.46875,5.29393821361022,26.7734375,-2.09765625,24.00390625,1.0,0.008886373252607882,0.06409368179738521,0.40084520578384397,1.9425481677055358,0.00015251054355758242,256.3885052204132
256,0.09375,1.6953125,6.163713359856166,27.078125,-2.5546875,22.603515625,1.0,0.0063165990635752674,0.05607546344399452,0.3966194078326225,1.9396872878074647,0.0004918154285405762,488.3724603652954
384,0.046875,1.5625,5.7771154700550955,27.0625,-2.33203125,24.474609375,1.0,0.010862713762825089,0.05611206138772624,0.3468957394361496,1.9204199654715401,0.003411763309226704,801.0049865245819
512,-0.21875,1.3828125,4.551116849022274,30.46875,-2.20703125,23.611328125,1.0,0.0019079295589643367,0.088573807521778,0.2794056236743927,1.8988049871781294,0.0034400081332184047,1115.015159368515
640,-0.04296875,1.7734375,5.359901121994454,32.875,-2.26171875,23.65625,1.0,-0.0030379831790924073,0.07017763704061508,0.2218121163547039,1.8795067846775055,0.002161675923707662,1505.0579769611359
768,-0.18359375,1.3515625,4.37382405255269,30.46875,-2.125,23.76953125,1.0,-0.01510182225611061,0.08806248884648085,0.17559202015399933,1.8868601679801942,0.0016526376704860013,1732.3801710605621
896,0.14453125,1.515625,5.225228342670194,29.609375,-2.12890625,24.029296875,1.0,0.004762630811647365,0.05772671711288,0.14717225338283338,1.8874156600550602,0.004039532923917777,1967.3569400310516
1024,0.0234375,1.234375,4.451215372778085,26.3046875,-1.59765625,25.6875,1.0,-0.0014503941521979869,0.06351948380470276,0.12884471230208874,1.8850238859653472,0.002514782484649913,2242.2278513908386
1152,0.08203125,1.3671875,5.408230268708159,26.8671875,-2.13671875,22.7734375,1.0,0.00419828649610281,0.054280500113964084,0.11982625164091587,1.867451286315918,0.0017992269080423285,2561.039731025696
1280,-0.0234375,1.3203125,4.67542174704494,28.1953125,-2.12109375,21.556640625,1.0,-0.0039950562914942995,0.07903243075398837,0.1165254830437548,1.8330625506008373,0.0032291036246426623,2885.1886398792267
1408,0.13671875,1.625,4.840935259229194,31.7109375,-2.4453125,22.958984375,1.0,-0.008480957895517349,0.06102345511317253,0.11431586258113384,1.804225206375122,0.0029562142204667906,3165.515921831131
1536,0.203125,1.71875,5.149206650157093,31.6796875,-2.2421875,23.990234375,1.0,-0.001350609282962978,0.053517475910484794,0.11230146363377572,1.7891547441482545,0.0007321287943341303,3374.898975610733
1664,0.10546875,1.8828125,5.888839715259731,30.9453125,-2.5078125,21.8984375,1.0,0.004243577946908772,0.07308011706918478,0.11077283918857575,1.7826553583145142,0.0017568126342666801,3820.156257390976
1792,-0.05859375,1.8046875,5.578105180540621,32.4296875,-2.55859375,23.16015625,1.0,-0.01009706943295896,0.08339971881359816,0.1091038554906845,1.7718836545944214,0.00044503109384095294,4176.876992702484
1920,0.14453125,1.6640625,5.435133606419105,29.71875,-2.4609375,23.783203125,1.0,-0.0006155214815710982,0.07614047527313232,0.10992833226919174,1.750418496131897,0.00251420632606217,4507.69020986557
2048,0.0859375,1.7421875,5.60850140054858,31.1640625,-2.44921875,22.283203125,1.0,-0.0024820869555696847,0.07879946362227201,0.10946930944919586,1.7259932518005372,0.0010152427465072833,4860.69610118866
2176,0.30078125,1.4140625,4.341701892686267,31.8359375,-2.0390625,23.705078125,1.0,0.007945935940369964,0.06082432121038437,0.10842040851712227,1.722002625465393,0.0033116581085778306,5194.924902677536
2304,0.0,1.8359375,5.52021602903245,33.59375,-2.58203125,23.9453125,1.0,0.016430472745560108,0.0767800472676754,0.10864069163799286,1.6919685840606689,0.0019422139506787063,5540.895454406738
2432,0.1484375,2.140625,6.045107403408982,35.3046875,-2.82421875,23.033203125,1.0,0.00442259581759572,0.07843346726149321,0.10939768962562084,1.6479671835899352,0.002989661825995427,5856.989434957504
2560,0.203125,1.640625,5.599556178509329,33.6875,-2.4921875,24.9375,1.0,0.008207395672798157,0.07015397045761347,0.10871535874903202,1.631388646364212,0.0016995069840049838,6117.17192029953
2688,0.12890625,1.875,5.746065296639366,32.21875,-2.5546875,22.55078125,1.0,0.0005365681834518909,0.04988569095730781,0.10811558999121189,1.63945814371109,0.0003497790232358966,6339.526118040085
2816,0.08203125,1.75,5.528214458970036,31.5,-2.45703125,23.4609375,1.0,0.012813996756449342,0.0751941716298461,0.10702106840908528,1.6257254600524902,0.0008487042534397915,6524.710408687592
2944,0.11328125,1.578125,4.935503402953985,31.4375,-2.53515625,22.453125,1.0,0.01216106432756143,0.05256559566727707,0.10741155222058296,1.5791294574737549,0.003996846467738838,6708.6047484874725
3072,0.18359375,1.7421875,5.472964432642632,32.1796875,-2.8203125,23.416015625,1.0,0.00158006576821208,0.07356281541287898,0.10749657079577446,1.517266321182251,0.004000746634119423,6898.397289276123
3200,-0.0078125,1.8515625,5.9069734969959535,31.4140625,-2.578125,23.796875,1.0,0.0022901888936758042,0.06667620744556188,0.10746537297964096,1.4251274943351746,0.002455027837277157,7108.956819295883
3328,0.18359375,1.2734375,4.306419525024968,28.4296875,-2.2265625,22.595703125,1.0,0.0018997634295374155,0.057609799690544604,0.10605406910181045,1.3593172430992126,0.0003337220536195673,7352.939115285873
3456,0.13671875,1.609375,5.778845371481798,27.5390625,-2.3046875,23.3828125,1.0,-0.008587785647250712,0.05703417249023914,0.10503851473331452,1.3199126362800597,0.0009124950105615426,7710.795097351074
3584,0.0625,1.6953125,5.6734953407259905,28.75,-2.40234375,24.96875,1.0,-0.0020382914692163466,0.055886612832546236,0.10336957722902299,1.2629930973052979,0.0003931474937417079,8148.371539354324
3712,0.1171875,1.4609375,5.302546525309175,26.921875,-2.42578125,24.46875,1.0,-0.0009551180060952902,0.04886335488408804,0.10177182257175446,1.220080131292343,0.0006372066272888333,8692.86807012558
3840,0.21484375,1.625,6.059149932914241,27.0703125,-2.4296875,24.625,1.0,0.007689159747678786,0.07093600239604711,0.10132378600537777,1.231040346622467,0.00015905259642750024,9065.786372423172
3968,0.125,1.328125,5.2721535118382175,24.3359375,-2.1875,24.16015625,1.0,-0.00796686050016433,0.048096945974975824,0.10035588815808297,1.2837556302547455,0.001610533060738817,9312.59035539627
4096,0.3359375,1.5234375,5.594894034903025,27.515625,-2.1328125,23.5703125,1.0,-0.0037451512878760697,0.03384610945358872,0.09716671742498875,1.3194769203662873,0.0010212055014562794,9613.95568060875
4224,0.203125,1.3984375,5.14111717438075,29.8125,-2.0390625,24.947265625,1.0,-0.012308466015383601,0.060896224714815615,0.0960610818117857,1.2636707305908204,0.0008129508518322836,9807.794807195663
4352,0.3125,1.9921875,6.4427451429594615,31.8671875,-2.8359375,23.568359375,1.0,-0.006526057852897793,0.045689179375767705,0.09630088470876216,1.2571996867656707,0.0004253902370692231,9994.75110244751
4480,0.25390625,1.546875,5.125892015216927,31.5546875,-2.33984375,23.96484375,1.0,-0.0028495541191659868,0.056703852489590645,0.09350316785275936,1.2451460540294648,0.0004722651203337591,10187.955730438232
4608,0.2265625,2.2109375,6.553229045582696,34.1328125,-2.8046875,22.861328125,1.0,-0.0062713977880775925,0.06085768770426512,0.09426926001906395,1.2451833724975585,0.0003939060610719025,10392.445139408112
4736,0.2109375,1.7421875,5.319303329140616,33.046875,-2.4296875,24.212890625,1.0,0.0010761917103081942,0.06848243102431298,0.09207812696695328,1.1932539463043212,0.0007395480315608438,10620.860824108124
4864,0.17578125,1.796875,6.319628044536438,28.796875,-2.72265625,25.28125,1.0,0.01352440626360476,0.0540225287899375,0.09031708464026451,1.1090851724147797,0.0008769273044890724,10931.823536396027
4992,0.23828125,1.5390625,5.472602403982832,26.0625,-2.23046875,22.490234375,1.0,-0.006635640747845173,0.06914322394877673,0.08970036171376705,1.0446888864040376,-6.324880814645439e-06,11207.832340240479
5120,0.1640625,1.4375,5.6684546203440735,26.796875,-1.81640625,24.244140625,1.0,0.0050877227447927,0.06230906266719103,0.08934963457286357,1.022319680452347,0.0003032147913472727,11441.61453127861
5248,0.26953125,1.3828125,5.607931252364866,26.1875,-2.0703125,25.14453125,1.0,0.0008855427382513881,0.04781303517520428,0.08732674643397331,1.010080024600029,7.512665906688199e-05,11679.131484508514
5376,0.1953125,1.59375,5.719082660472763,27.828125,-2.0234375,23.8515625,1.0,-0.0003429475938901305,0.04565365538001061,0.08635396473109722,1.0695187032222748,0.0006579720517038368,11939.23701429367
5504,0.25390625,1.65625,5.868679707184608,28.7109375,-2.30078125,24.39453125,1.0,0.001973785401787609,0.046100434847176075,0.08802791684865952,1.050392311811447,0.0010816837384481914,12247.320153474808
5632,0.24609375,1.4296875,4.749894578695437,28.9453125,-2.4765625,22.857421875,1.0,-0.008084475109353662,0.05097958799451589,0.08664401173591614,0.9678432464599609,0.0005310791995725595,12483.386054992676
5760,0.3203125,1.40625,5.2651587184644555,26.2109375,-2.203125,25.12890625,1.0,-0.005508369719609618,0.04737183153629303,0.08699955977499485,0.9478072017431259,0.00014593850210076198,12778.279235363007
5888,0.2421875,1.4765625,5.368249930003101,27.6875,-2.4296875,22.3671875,1.0,0.0019371523056179285,0.05648382063955069,0.08490327298641205,0.9348085165023804,0.00024067529302556067,12994.704954862595
6016,0.2421875,1.4765625,5.590670274455805,26.5,-1.97265625,23.158203125,1.0,-0.0038001776672899725,0.05265086516737938,0.08597240522503853,0.8657690435647964,0.0009276330965803936,13195.460152864456
6144,0.2421875,1.3203125,4.931678950955708,27.03125,-1.5625,23.21875,1.0,0.006583787384442985,0.04104717820882797,0.08423699475824833,0.8331779927015305,0.00012188958353362978,13433.203861236572
6272,0.23046875,1.3515625,4.592675055758169,28.03125,-2.203125,25.087890625,1.0,-0.005956222699023783,0.050758641213178635,0.08346440196037293,0.849548926949501,0.00045841702522011476,13684.93725848198
6400,0.23046875,1.6171875,5.401948716549329,29.9921875,-2.30859375,23.501953125,1.0,-0.0038470279891043902,0.0679346363991499,0.08443810604512691,0.9196834534406662,0.0006267929886234925,13962.296780824661
6528,0.2109375,1.8828125,5.620029953831439,34.0234375,-2.9921875,23.26953125,1.0,-0.001343441498465836,0.06826479155570268,0.08547181636095047,0.9737428396940231,0.0004419539371156134,14221.642099380493
6656,0.109375,1.8828125,6.030471655780794,33.7421875,-2.7734375,22.94921875,1.0,-0.001133898482657969,0.07916529569774866,0.08504639640450477,1.0508515954017639,0.0013007635570829734,14525.073686361313
6784,0.19921875,1.5859375,5.0948325803655266,31.671875,-2.390625,23.142578125,1.0,0.009430289920419454,0.05067950449883938,0.08253814615309238,1.1068703830242157,0.0008794511159067042,14806.837062597275
6912,0.15234375,2.0859375,6.068317926153715,35.65625,-2.86328125,23.14453125,1.0,-0.0013068223372101784,0.05913862977176905,0.08224251866340637,1.107523500919342,0.00016219850804191082,15089.708249807358
7040,0.1875,1.8125,5.217988821094995,32.1796875,-2.42578125,24.0078125,1.0,-0.005689618154428899,0.04875824302434921,0.08198720701038838,1.0933622479438783,0.0002332464631763287,15359.579172372818
7168,0.1640625,1.7578125,5.456514869750516,32.65625,-2.76953125,23.3125,1.0,-0.009121716977097094,0.05112291071563959,0.08286792747676372,1.0705594897270203,8.754070731811225e-05,15640.586436033249
7296,0.234375,2.0078125,5.755550702967893,34.25,-2.93359375,22.875,1.0,0.0012025473406538367,0.05724319107830524,0.08123629949986935,1.0720749139785766,0.0001179904560558498,15925.583021402359
7424,0.19140625,2.0625,5.710950454227533,33.9921875,-2.72265625,22.8984375,1.0,0.0003845388302579522,0.06975270230323076,0.08131789639592171,1.1199081718921662,0.00032674238173058257,16196.230327367783
7552,-0.04296875,2.1015625,5.385212752186294,39.140625,-2.796875,22.78125,1.0,0.009283800236880779,0.07735867332667112,0.08307453617453575,1.1132447600364686,0.00037499834143090994,16485.43908047676
7680,0.09765625,1.7421875,4.9887979637167765,33.9453125,-2.72265625,23.328125,1.0,-0.0036125696264207364,0.05825426895171404,0.08099716491997241,1.1008820414543152,0.00021676590986317024,16840.31568455696
7808,0.18359375,1.609375,4.84981947975829,32.90625,-2.34375,23.138671875,1.0,0.00789995607919991,0.04568482842296362,0.08148892372846603,1.0658076465129853,0.0008327799674589187,17207.98706459999
7936,0.1640625,1.5234375,5.154144245667478,28.4140625,-2.171875,23.3046875,1.0,0.00872756652534008,0.05951379723846913,0.08000156916677952,0.9657861143350601,0.0004851339588640258,17572.375809192657
8064,0.26171875,1.4609375,5.5456929206672285,25.640625,-2.02734375,23.7734375,1.0,-0.006718190666288137,0.0381928619928658,0.07922674007713795,0.956418377161026,0.00019488521211314947,17929.897443056107
8192,0.2890625,1.46875,6.313036615387042,24.8515625,-2.08203125,24.755859375,1.0,-0.01196451431605965,0.0434345823712647,0.07844696156680583,0.9305422723293304,0.00017292239208472894,18269.82003569603
8320,0.05859375,1.2421875,4.882686509651634,25.84375,-2.10546875,23.630859375,1.0,0.0036291214695665986,0.05536389444023371,0.07853166982531548,0.9338095992803573,8.193978574126959e-05,18722.089064598083
8448,0.26171875,1.265625,4.579381565280254,25.6796875,-1.75,24.2890625,1.0,0.0009613151079975069,0.045034035854041574,0.07875483557581901,0.9161723703145981,0.00019004716450581326,19006.19150161743
8576,0.390625,1.8125,6.507258238099807,28.9296875,-2.40234375,22.89453125,1.0,-0.00396442674100399,0.04838601928204298,0.07860108278691769,0.8859629273414612,0.00031022098701214416,19395.71851706505
8704,0.15625,1.53125,5.171886042989774,29.2265625,-2.34375,23.697265625,1.0,-0.008341416297480465,0.06912798825651408,0.07832923494279384,0.8587263584136963,0.0003134513186523691,19763.066788434982
8832,0.05078125,2.0859375,6.095297358425329,33.265625,-2.83984375,23.830078125,1.0,-0.008136811899021268,0.07488056328147649,0.07648547291755677,0.8102662354707718,0.0009586549451341853,20193.78116965294
8960,0.1875,1.671875,5.688945684223824,30.0703125,-2.21484375,23.3984375,1.0,0.0037875106325373055,0.05367868505418301,0.07714394927024841,0.7212328284978866,0.0002775633314740844,20583.2407913208
9088,0.24609375,1.6015625,6.101669218343035,26.4609375,-2.34375,25.107421875,1.0,-0.001493929384741932,0.04956555310636759,0.07833992093801498,0.6566563516855239,0.00016579165239818394,21016.220811843872
9216,0.27734375,1.40625,5.629775696496052,26.015625,-2.52734375,22.59375,1.0,-0.0072676319861784576,0.047548704966902736,0.0755943063646555,0.6187770366668701,0.0006058286904590205,21313.459978818893
9344,0.1640625,1.875,6.0884327273965155,30.9765625,-2.54296875,23.705078125,1.0,-0.010346467513591051,0.05205767154693604,0.07528952844440936,0.61135915517807,0.0003183986322255805,21666.038628816605
9472,0.078125,1.7578125,5.268137434951533,33.5078125,-2.47265625,23.94921875,1.0,0.003740664222277701,0.061288109980523586,0.07540523521602154,0.5823056370019912,0.0007312772097066045,21976.899285793304
9600,0.27734375,1.5390625,5.176768311801396,27.625,-2.7265625,22.50390625,1.0,-0.02375912421848625,0.038291342463344334,0.07469931915402413,0.5716537684202194,0.00020404331298777832,22347.598830223083
9728,0.33203125,1.890625,5.963213997208811,31.46875,-2.6171875,24.40234375,1.0,0.0026752406265586615,0.057393798045814036,0.07509935647249222,0.6208585649728775,0.000555525290837977,22645.5398747921
9856,0.19140625,1.9765625,5.521681708750464,36.59375,-2.58984375,24.923828125,1.0,0.0012126014567911624,0.08220366165041923,0.07548057660460472,0.6691661059856415,0.00030804136185906826,22916.321273326874
9984,0.1796875,2.0078125,5.859413190608891,34.1171875,-2.8203125,23.70703125,1.0,0.008611140842549502,0.06211688928306103,0.07484285719692707,0.6625292390584946,7.925076788524165e-05,23170.11562848091
10112,0.12109375,1.6953125,5.006778779857294,34.0390625,-2.19140625,22.0546875,1.0,-0.004279394634068012,0.06871896255761385,0.07312726080417634,0.6441676676273346,0.000129594947793521,23418.00229883194
10240,0.1953125,1.7265625,5.934451677556647,29.8515625,-2.640625,21.89453125,1.0,-0.012680045142769814,0.05596860852092504,0.07051751129329205,0.6460987478494644,0.0002119250624673441,23712.191611289978
10368,0.328125,1.5546875,5.041062405290965,30.4453125,-2.5234375,22.919921875,1.0,-0.003916495549492538,0.05375697799026966,0.07235107310116291,0.7176035493612289,0.001094997789186891,23978.63614010811
