episodes,learner_return,learner_harm,harm_per_100_moves,learner_moves,bystander_return,expert_return,frac_social,l_pi,l_v,l_aux,ent,kl,sec
128,0.0546875,1.3203125,5.073143662947263,24.6171875,-1.76171875,0.0,0.0,-7.856886368244887e-05,0.04926850628107786,0.40137215703725815,1.9426723718643188,0.00016184712148969993,529.7202885150909
256,0.0390625,1.4375,5.450902701229726,25.875,-1.94921875,0.0,0.0,-0.0036998864030465483,0.05184324216097593,0.39930794686079024,1.9419596076011658,0.0009397819922014605,1165.6088802814484
384,-0.08984375,1.53125,5.295968990836799,28.75,-2.0,0.0,0.0,-0.002676334542532762,0.061024296200937696,0.37904867861006,1.9243971904118855,0.0037655975562908375,1646.5911469459534
512,-0.15625,1.90625,5.57242453316913,33.75,-2.390625,0.0,0.0,-0.0032686115009710193,0.0738250058144331,0.31332145184278487,1.8927270114421844,0.002801566163543612,2155.393791913986
640,-0.12890625,1.953125,5.355205263994403,36.0078125,-2.58984375,0.0,0.0,0.003791956463828683,0.08234186992049217,0.24268564507365226,1.8888128101825714,0.002149621235730592,2707.8765635490417
768,0.125,2.375,5.689383273796441,40.5234375,-2.87890625,0.0,0.0,0.0017811880446970464,0.06603994369506835,0.20458617707093557,1.8458654165267945,0.0032418197612666213,3211.523439645767
896,-0.1484375,2.375,6.210778839020306,38.3515625,-3.0390625,0.0,0.0,-0.0034650415647774933,0.10527826100587845,0.175161399692297,1.8053248226642609,0.0010339872307667975,3774.487253189087
1024,0.00390625,2.2890625,5.725520181322307,40.9296875,-2.9765625,0.0,0.0,-0.0031185123953036964,0.09690675660967826,0.14829774126410483,1.7842533230781554,0.0025933109391189646,4585.284198284149
1152,0.07421875,1.8671875,5.101401804163405,36.5546875,-2.359375,0.0,0.0,0.006357569387182594,0.06639320496469736,0.1330650456249714,1.7790125548839568,0.0023069668604875915,5161.602849245071
1280,-0.03125,2.0546875,4.964020750128759,41.3046875,-2.828125,0.0,0.0,-0.005530252656899393,0.0879922479391098,0.12367185391485691,1.733365261554718,0.0041052532353205605,5948.5469126701355
1408,-0.09765625,2.5390625,5.669669948535759,44.0,-3.00390625,0.0,0.0,-0.0030562478555914234,0.13292957842350006,0.11972905914573108,1.665233899565304,0.0036950354851261876,6459.248484134674
1536,0.04296875,1.8828125,4.6311623058865745,39.8984375,-2.484375,0.0,0.0,-0.014174769655801356,0.1022440567612648,0.11735401824116706,1.6186367988586425,0.002105370192293776,6938.385632753372
1664,-0.12109375,2.25,5.746115978427147,38.1953125,-2.83984375,0.0,0.0,0.005389064783230424,0.08743651024997234,0.1159380029886961,1.5532679200172423,0.0036559278902132063,7425.390728712082
1792,-0.09765625,2.5234375,6.722310170281116,39.796875,-2.8203125,0.0,0.0,1.1508073657751084e-05,0.10205382145941258,0.11478144228458405,1.477742111682892,0.0005438944041088689,7916.2099142074585
1920,0.19921875,1.984375,5.533640700885705,35.6015625,-2.46875,0.0,0.0,-0.017685434967279434,0.06608712486922741,0.11328843683004379,1.4854956269264221,0.0007408966826915276,8406.3936150074
2048,0.046875,1.8671875,5.695008539015918,33.015625,-2.234375,0.0,0.0,-0.00576242774259299,0.07018768582493067,0.11128915548324585,1.513274711370468,0.0014144823435344733,8869.288331747055
2176,0.3203125,2.0859375,6.586337734679958,32.703125,-2.67578125,0.0,0.0,0.002367330435663462,0.0545294001698494,0.11152564398944378,1.5758050739765168,0.0016851461405167356,9314.312760591507
2304,0.26171875,1.6171875,5.498749594953827,29.875,-2.30078125,0.0,0.0,0.007377415825612843,0.08412873558700085,0.1106324914842844,1.5809556424617768,0.001116541543888161,9761.512896299362
2432,0.234375,1.828125,5.193845301478989,33.8671875,-2.4609375,0.0,0.0,-0.0023452475666999816,0.049115073308348654,0.10831758193671703,1.6083202123641969,0.001005163865920622,10225.793069124222
2560,0.06640625,1.6953125,5.792699338985473,30.671875,-2.1953125,0.0,0.0,0.010706198285333812,0.07376755587756634,0.10827968306839467,1.5567489504814147,0.0022039001873054077,10703.984567165375
2688,0.38671875,1.78125,5.863808428470366,29.59375,-2.60546875,0.0,0.0,-0.013111559604294599,0.04238013681024313,0.1083318442106247,1.525815063714981,0.0026472701880265958,11207.065841913223
2816,0.03515625,1.4375,4.612119234000431,29.8828125,-1.93359375,0.0,0.0,-0.007919386099092662,0.07302065212279558,0.10770846344530582,1.4684299647808075,0.0016811112298455555,11703.4440472126
2944,0.12890625,1.65625,5.825611884401481,30.0078125,-2.2890625,0.0,0.0,-0.016196333756670355,0.06504424437880515,0.1059866052120924,1.455695593357086,0.0003782389612752013,12196.951386213303
