episodes,learner_return,learner_harm,harm_per_100_moves,learner_moves,bystander_return,expert_return,frac_social,l_pi,l_v,l_aux,ent,kl,sec
128,-1.45703125,1.5078125,5.498003560309899,26.984375,-2.24609375,0.0,0.0,0.003426807397045195,0.17917452976107598,0.40170600861310957,1.942889505624771,0.00033352396931149995,250.51680088043213
256,-1.359375,1.28125,5.599758012933052,24.3671875,-1.80859375,0.0,0.0,-0.008133192252563802,0.1567976290458127,0.3944008522912076,1.9379081914299412,0.0031109334116703586,481.9656207561493
384,-0.6875,0.8125,4.499479963241068,18.265625,-1.7265625,0.0,0.0,0.0033515335759148,0.08585996329784393,0.33865465968847275,1.9087565004825593,0.00450687315169489,747.4483482837677
512,-0.73828125,0.828125,5.761842429253557,14.5078125,-1.296875,0.0,0.0,3.0725065153092145e-05,0.07008488886058331,0.2582640901207924,1.8861213386058808,0.001764065041061258,979.8385715484619
640,-0.5859375,0.65625,5.508420116821052,11.3359375,-1.1796875,0.0,0.0,-0.006297482899390161,0.06647989116609096,0.201459326595068,1.848027193546295,0.0032888429966988044,1223.493983745575
768,-0.37109375,0.5,5.743414172176507,9.328125,-1.03125,0.0,0.0,-0.01001738894265145,0.05644244272261858,0.16316932961344718,1.8453812539577483,0.0015533320438407827,1458.74520277977
896,-0.3046875,0.3671875,5.162850706279015,7.796875,-1.109375,0.0,0.0,0.0029907125979661943,0.0346481333176295,0.13957787851492565,1.8414250453313192,0.003665318648563698,1727.013426065445
1024,-0.2109375,0.2890625,3.8897040459540464,6.78125,-1.17578125,0.0,0.0,0.0007290208246558905,0.02955837333574891,0.12550709657371045,1.8271168649196625,0.0045899718868895436,1978.5965752601624
1152,-0.2890625,0.3828125,6.576845463564213,5.234375,-0.90625,0.0,0.0,-0.003269543603528291,0.031252140551805495,0.1176093976944685,1.8324727177619935,0.0021401828009402378,2217.922534227371
1280,-0.04296875,0.15625,3.9601934523809526,4.71875,-0.67578125,0.0,0.0,0.0020221170736476777,0.016923944326117636,0.1121631447225809,1.8126906871795654,0.002254710924171377,2589.834371805191
1408,-0.18359375,0.234375,6.322544642857144,3.6953125,-1.09375,0.0,0.0,0.0029556343564763666,0.01907959799282253,0.10795467607676983,1.7829645276069641,0.0013684533099876718,2867.6539328098297
1536,-0.140625,0.203125,5.968191964285714,3.640625,-0.671875,0.0,0.0,0.0011017620214261114,0.017458958271890878,0.10820636376738549,1.775589829683304,0.002538465810357593,3149.392747402191
1664,-0.05859375,0.1171875,3.28125,2.921875,-0.72265625,0.0,0.0,0.009911833377555013,0.011112540448084473,0.10492178611457348,1.7648651719093322,0.0032218191081483383,3419.3827760219574
1792,-0.109375,0.171875,6.796875,2.3359375,-0.47265625,0.0,0.0,4.5881629921495916e-05,0.012480772379785777,0.10491892620921135,1.758399450778961,0.0006446588165999855,3688.315667152405
1920,-0.015625,0.09375,3.971354166666667,1.6796875,-0.5078125,0.0,0.0,-0.014184865937568247,0.007021136651746929,0.10319593399763108,1.7675238072872161,0.00035316770081408324,3929.396636724472
2048,-0.0546875,0.09375,4.036458333333334,1.8671875,-0.90234375,0.0,0.0,0.004079702752642333,0.009777760005090386,0.1023999072611332,1.7715903103351593,0.0008283153874799609,4186.054876565933
2176,-0.0625,0.0859375,4.947916666666667,1.421875,-0.78515625,0.0,0.0,-0.003451967961154878,0.004719167819712311,0.10256366692483425,1.759645116329193,0.0009726877513458021,4457.071829080582
2304,-0.0078125,0.046875,2.4739583333333335,1.2421875,-1.015625,0.0,0.0,0.0025952817872166634,0.0048853255033463935,0.10139281935989856,1.7293391108512879,0.002807503548683599,4729.955285072327
2432,-0.015625,0.046875,3.6458333333333335,0.921875,-0.57421875,0.0,0.0,0.008586290036328137,0.004804685898125172,0.10057479403913021,1.708810943365097,0.0010510894164326601,4954.712005376816
2560,-0.046875,0.0625,2.9296875,0.9375,-0.87890625,0.0,0.0,0.0010206117760390044,0.004503053298685699,0.10160505846142769,1.7183442533016204,0.0011119845119537785,5209.861388683319
2688,-0.0234375,0.0546875,3.125,0.9140625,-0.53125,0.0,0.0,-0.008440971374511719,0.0052707117138197646,0.10124502256512642,1.7143387019634246,0.00045220827814773656,5507.055335283279
2816,-0.03125,0.03125,1.6276041666666667,0.625,-0.85546875,0.0,0.0,-0.002638595551252365,0.0016033802901802118,0.10204370021820068,1.732310938835144,0.0005944201402598992,5791.185787200928
2944,0.0,0.03125,2.34375,0.703125,-0.6796875,0.0,0.0,-0.005864320416003465,0.0024619110772619024,0.10142669640481472,1.7333894073963165,0.0002707807259866968,6090.521643638611
3072,-0.03125,0.0390625,2.34375,0.6953125,-0.66015625,0.0,0.0,0.0011499523068778216,0.0022463935485575346,0.1005533553659916,1.7293394565582276,0.0007441966881742701,6371.208614349365
3200,-0.06640625,0.078125,6.640625,0.71875,-0.70703125,0.0,0.0,0.0007029809756204485,0.006591443344950676,0.09959351196885109,1.7234482765197754,0.0013586488050350454,6608.085807800293
3328,-0.0234375,0.0390625,2.9296875,0.5625,-0.703125,0.0,0.0,-0.0013608672190457583,0.0027660651539918035,0.09928183108568192,1.7337721943855287,0.001147305053746095,6895.647381067276
3456,-0.0078125,0.0078125,0.390625,0.3515625,-0.59375,0.0,0.0,-0.002380000171251595,0.00034754488538055737,0.09933132231235504,1.7342472076416016,0.00016463401698274538,7171.962550163269
3584,-0.0234375,0.0234375,1.953125,0.34375,-0.703125,0.0,0.0,-0.009778646961785853,0.001154067734569253,0.09984835535287857,1.726640272140503,0.0007565982145024463,7469.9396114349365
3712,-0.0078125,0.0234375,1.4322916666666667,0.3125,-0.85546875,0.0,0.0,0.003514513676054776,0.0024798400729196144,0.0986761923879385,1.7190865397453308,0.0003846947307465598,7844.761154174805
3840,-0.015625,0.03125,1.953125,0.3046875,-0.77734375,0.0,0.0,0.008492554957047104,0.0022460938926087692,0.09760182425379753,1.7230629742145538,0.001635073528450448,8163.25781416893
3968,-0.015625,0.03125,3.125,0.3359375,-0.55859375,0.0,0.0,0.0018023940967395902,0.002072566776769236,0.09942670129239559,1.7147079885005951,0.001720655661483761,8462.910951137543
4096,-0.015625,0.0234375,2.34375,0.265625,-0.45703125,0.0,0.0,-0.0011350045097060502,0.001323922211304307,0.10178241170942784,1.7022553384304047,0.0017872660755529068,8756.754510641098
4224,-0.015625,0.03125,2.734375,0.328125,-0.5,0.0,0.0,0.006660267501138151,0.002528230998723302,0.0978365357965231,1.697250759601593,0.0009586970700183883,9055.312530994415
4352,0.0,0.015625,1.5625,0.203125,-0.359375,0.0,0.0,-0.005167537048691884,0.0016599111128016374,0.09959172755479813,1.6891466677188873,0.0016351128440874163,9328.506812810898
4480,-0.0078125,0.015625,1.171875,0.2734375,-0.375,0.0,0.0,0.008092795533593744,0.0012927726746511325,0.09933177717030048,1.6856605112552643,0.0013536887308873702,9624.109468460083
4608,-0.015625,0.015625,1.5625,0.171875,-0.609375,0.0,0.0,0.0020411529927514493,0.000880806571467474,0.09567231461405754,1.676161915063858,0.00024664894808665847,9845.181948423386
4736,-0.0078125,0.0078125,0.78125,0.2265625,-0.484375,0.0,0.0,0.00339410537853837,0.0004938767710427783,0.09832782037556172,1.6547633290290833,0.0017850869087851606,10121.518002986908
